studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,plantedSeedlotStockDbId,plantedSeedlotStockUniquename,plantedSeedlotCurrentCount,plantedSeedlotCurrentWeightGram,plantedSeedlotBoxName,plantedSeedlotTransactionCount,plantedSeedlotTransactionWeight,plantedSeedlotTransactionDescription,availableGermplasmSeedlotUniquenames,FHB plant response - 1-9 response scale|CO_321:0501028,Grain test weight - g/l|CO_321:0001210,Grain yield - kg/ha|CO_321:0001218,Heading time - Julian date (JD)|CO_321:0001233,notes
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96941,16-4364,,plot,254717,Adv_Urb_20-plot101,1,1,101,,,test,,,,,,,,,,,3,672.4099583,5353.10524,135," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97230,17-31555,,plot,254840,Adv_Urb_20-plot102,1,1,102,,,test,,,,,,,,,,,4,731.2915925,5321.430062,138," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",100790,US16-IL-064-204,,plot,254621,Adv_Urb_20-plot103,1,1,103,,,test,,,,,,,,,,,3,741.3594367,5543.156314,137," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97186,17-27559,,plot,254787,Adv_Urb_20-plot104,1,1,104,,,test,,,,,,,,,,,3,731.2915925,5163.054167,136," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",100698,US16-IL-065-032,,plot,254573,Adv_Urb_20-plot105,1,1,105,,,test,,,,,,,,,,,1,741.0543505,4846.302377,137," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",100659,US16-IL-064-234,,plot,254860,Adv_Urb_20-plot106,1,1,106,,,test,,,,,,,,,,,4,727.0203859,5289.754883,134," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97321,17-9839,,plot,254748,Adv_Urb_20-plot107,1,1,107,,,test,,,,,,,,,,,4,734.0373682,5321.430062,137," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",101094,US16-IL-065-030,,plot,254729,Adv_Urb_20-plot108,1,1,108,,,test,,,,,,,,,,,2,757.5290047,4624.576125,136," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97307,17-8824,,plot,254637,Adv_Urb_20-plot109,1,1,109,,,test,,,,,,,,,,,1,766.3765041,5163.054167,137," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96699,16-19018,,plot,254805,Adv_Urb_20-plot110,1,1,110,,,test,,,,,,,,,,,2,778.2748655,5353.10524,138," (Operator: jrutkoski, Time: )"
