,names,studyName,germplasmDbId,trait,predicted.value,std.error
1,19-326,Aug_Urb_20,240183,Grain.yield...bu.ac,76.68572733,7.162935304
2,Kaskaskia,Aug_Urb_20,84789,Grain.yield...bu.ac,80.77536381,0.875996176
3,19-341,Aug_Urb_20,240185,Grain.yield...bu.ac,72.49601455,7.162935304
4,19-357,Aug_Urb_20,240198,Grain.yield...bu.ac,79.18071213,7.162935304
5,19-366,Aug_Urb_20,240199,Grain.yield...bu.ac,77.01525446,7.162935304
6,19-673,Aug_Urb_20,240302,Grain.yield...bu.ac,83.55871975,7.162935304
7,19-1020,Aug_Urb_20,239209,Grain.yield...bu.ac,75.41469621,7.162935304
8,19-1133,Aug_Urb_20,239244,Grain.yield...bu.ac,72.21356484,7.162935304
9,07-4415,Aug_Urb_20,84801,Grain.yield...bu.ac,77.54421247,0.874483758
10,19-1551,Aug_Urb_20,239509,Grain.yield...bu.ac,81.72278923,7.162935304
11,19-1603,Aug_Urb_20,239526,Grain.yield...bu.ac,71.74282028,7.162935304
12,19-2401,Aug_Urb_20,239912,Grain.yield...bu.ac,68.87121605,7.162935304
13,19-2518,Aug_Urb_20,239978,Grain.yield...bu.ac,64.91689042,7.162935304
14,19-2552,Aug_Urb_20,240010,Grain.yield...bu.ac,68.77707606,7.162935304
15,19-2672,Aug_Urb_20,240092,Grain.yield...bu.ac,66.98820809,7.162935304
16,19-2904,Aug_Urb_20,240178,Grain.yield...bu.ac,59.97398337,7.162935304
17,19-3269,Aug_Urb_20,240184,Grain.yield...bu.ac,80.12223097,7.162935304
18,19-3453,Aug_Urb_20,240186,Grain.yield...bu.ac,74.84978193,7.162935304
19,19-3427,Aug_Urb_20,240687,Grain.yield...bu.ac,76.73280475,7.162935304
20,19-3462,Aug_Urb_20,240188,Grain.yield...bu.ac,73.48459595,7.162935304
21,19-3474,Aug_Urb_20,240190,Grain.yield...bu.ac,45.00402996,7.162935304
22,19-3502,Aug_Urb_20,240191,Grain.yield...bu.ac,72.26064227,7.162935304
23,19-3505,Aug_Urb_20,240192,Grain.yield...bu.ac,68.6829212,7.162935304
24,19-3510,Aug_Urb_20,240193,Grain.yield...bu.ac,74.75564194,7.162935304
25,19-3514,Aug_Urb_20,240194,Grain.yield...bu.ac,64.58736328,7.162935304
26,19-3528,Aug_Urb_20,240195,Grain.yield...bu.ac,70.00102974,7.162935304
27,19-3538,Aug_Urb_20,240197,Grain.yield...bu.ac,74.4261148,7.162935304
28,19-3661,Aug_Urb_20,240200,Grain.yield...bu.ac,66.89405323,7.162935304
29,19-3868,Aug_Urb_20,240203,Grain.yield...bu.ac,70.18932459,7.162935304
30,19-3904,Aug_Urb_20,240204,Grain.yield...bu.ac,80.82836268,7.162935304
31,19-3920,Aug_Urb_20,240205,Grain.yield...bu.ac,83.41750233,7.162935304
32,19-3926,Aug_Urb_20,240206,Grain.yield...bu.ac,73.57875081,7.162935304
33,19-3937,Aug_Urb_20,240208,Grain.yield...bu.ac,81.34618466,7.162935304
34,19-3943,Aug_Urb_20,240209,Grain.yield...bu.ac,79.08657214,7.162935304
35,19-3948,Aug_Urb_20,240210,Grain.yield...bu.ac,82.24061121,7.162935304
36,19-4014,Aug_Urb_20,240213,Grain.yield...bu.ac,73.76706053,7.162935304
37,19-4134,Aug_Urb_20,240218,Grain.yield...bu.ac,78.94533985,7.162935304
38,19-4141,Aug_Urb_20,240219,Grain.yield...bu.ac,73.72295704,7.162935304
39,19-4151,Aug_Urb_20,240220,Grain.yield...bu.ac,82.09939379,7.162935304
40,19-4176,Aug_Urb_20,240222,Grain.yield...bu.ac,77.6272313,7.162935304
41,19-4224,Aug_Urb_20,240224,Grain.yield...bu.ac,80.35760325,7.162935304
42,19-4462,Aug_Urb_20,240230,Grain.yield...bu.ac,80.82836268,7.162935304
43,19-4236,Aug_Urb_20,240226,Grain.yield...bu.ac,87.84258739,7.162935304
44,19-4238,Aug_Urb_20,240227,Grain.yield...bu.ac,75.27346392,7.162935304
45,19-4741,Aug_Urb_20,240231,Grain.yield...bu.ac,74.94393859,7.162935304
46,19-4747,Aug_Urb_20,240232,Grain.yield...bu.ac,59.26785093,7.162935304
47,19-4959,Aug_Urb_20,240235,Grain.yield...bu.ac,73.62582911,7.162935304
48,19-5009,Aug_Urb_20,240236,Grain.yield...bu.ac,73.57875378,7.162935304
