"","name","Grain.yield...bu.ac.North","Grain.yield...bu.ac.South","Grain.test.weight...lbs.bu","Heading.time...Julian.date..JD..","Plant.height.inches","FHB.DON.content...ppm.","FHB.grain.incidence.....","FHB.incidence.....","FHB.severity.....","SBMV","Grain.yield...bu.ac.North.1","Grain.yield...bu.ac.South.1","balancedIX","ranking","multiyr","sets","licenced","licenced.1"
"6","07-4415",88.1132559403078,79.0681392714598,55.4880568647913,134.299006874542,35.1316439384208,4.37523341383848,31.0131269220875,46.7943325317818,27.3920945387251,4.74759262421008,88.1132559403078,79.0681392714598,127.203436449671,1,"true","Adv19,Adv20,Adv18,Pr[0-9]19,Pr[0-9]18",FALSE,FALSE
"488","16-8048",89.1945788602208,82.3702723997988,58.0283339864479,136.335562722557,35.330367817571,5.92169099310936,5.90469091625442,36.5253346111256,9.15255228734888,7.06574324342565,89.1945788602208,82.3702723997988,121.29130656636,2,"true","Adv19,Adv20,Pr[0-9]18",TRUE,TRUE
"647","17-23874",83.849869314142,87.2340498531623,58.1499958508409,138.165532005863,34.9642040359992,7.29418587740087,31.5474036570392,71.8792421712712,42.8045579833714,4.31906131010068,83.849869314142,87.2340498531623,117.53397473575,3,"true","Adv20,Pr[0-9]19",FALSE,FALSE
"649","17-23904",80.8930718241396,84.5113656113521,58.724035721585,135.464880286805,34.4840733319073,8.30859622358496,38.6027910651854,58.5374910421324,28.1251317638731,4.66560903075192,80.8930718241396,84.5113656113521,106.987046185914,4,"true","Adv20,Pr[0-9]19",FALSE,FALSE
"246","16-23972",76.1607058765215,81.3456751141211,57.0772910016414,136.470868556854,33.2885174685266,4.69473837288417,8.31813974251217,33.8131202372309,6.54840544659633,5.32156125208288,76.1607058765215,81.3456751141211,100.863565426164,5,"true","Adv19,Adv20,Pr[0-9]18",TRUE,FALSE
"787","17-8626",77.5958094035709,84.3353392286039,58.7713931775037,134.350673567792,32.7817441285537,9.12112349391591,32.9538339580504,54.8560478262467,20.8562465986745,5.89036988286084,77.5958094035709,84.3353392286039,96.7038296627603,6,"true","Adv20,Pr[0-9]19",FALSE,FALSE
"662","17-25205",77.4204582667707,82.9173239089627,59.0039671442009,136.676833947672,34.0028061008161,6.51388180249729,17.159135036795,45.5509941306633,16.8929344153976,5.94725874261526,77.4204582667707,82.9173239089627,87.3432333370723,7,"true","Adv20,Pr[0-9]19",FALSE,FALSE
"837","US16-IL-061-179",82.2385599353665,78.6848624989279,57.7876634369415,133.315630408458,32.4233838013368,9.786379866622,59.8330696019744,74.3451914666866,51.293775799694,2.5752280920929,82.2385599353665,78.6848624989279,86.9108769492548,8,"true","Adv20,Pr[0-9]19",FALSE,FALSE
"242","16-23941",79.1640006509308,78.7505126903942,56.696688346665,134.275362479043,33.672006853317,6.99804734245148,23.6633032866119,49.4340373281727,19.3499974928764,4.95495777724135,79.1640006509308,78.7505126903942,84.5321082484962,9,"true","Adv19,Adv20,Pr[0-9]18",FALSE,FALSE
"1027","US16-IL-064-235",76.7881345173892,81.3985581172244,57.9817796247966,138.240130779979,34.8956814719555,5.89715293107155,22.7967362826131,50.985637023969,21.732206638055,3.50167347810105,76.7881345173892,81.3985581172244,82.2735755570255,10,"true","Adv20,Pr[0-9]19",FALSE,FALSE
"648","17-23902",82.4053215135936,82.9582462812833,58.6835563553838,136.498899099414,36.1299962455871,8.46137825757344,29.5964352209889,69.6285530496265,33.4804100190854,4.86180988666133,82.4053215135936,82.9582462812833,81.8446300774006,11,"true","Adv20,Pr[0-9]19",FALSE,FALSE
"237","16-23766",77.5584814638341,77.3029958587975,57.7900353446246,136.145367610846,35.5121608929208,4.03002883669202,18.5807995187331,49.1513563707999,25.4874348406903,3.41902724853381,77.5584814638341,77.3029958587975,80.9434987877245,12,"true","Adv19,Adv20,Pr[0-9]18",FALSE,FALSE
"431","16-4364",80.5013347065337,79.6501483853778,56.8553149984414,136.170841183788,34.6576865511896,7.13050388570514,18.1249745826175,55.3172563612746,18.9806653435735,4.65779587404341,80.5013347065337,79.6501483853778,80.275909276919,13,"true","Adv19,Adv20,Pr[0-9]18",TRUE,FALSE
