"","name","FHB.DON.content...ppm.","FHB.grain.incidence.....","FHB.incidence.....","FHB.severity.....","Grain.test.weight...lbs.bu","Grain.yield...bu.ac","Heading.time...Julian.date..JD..","Plant.height.inches","SBMV","balancedIX"
"1","02-18228",-3.55154639320425,-18.0211719112653,-12.1389910550664,-3.13595105392426,1.10727370330236,2.02529061163925,0.163702768428521,2.50229757390041,-1.05262246420499,25.8249589920267
"2","07-19334",-0.151500222632357,-17.034611756701,-6.28992828969051,-6.66112417388464,-0.0613372227442497,12.855499870074,3.64817898624833,2.26020249927192,2.42336374963276,57.3493686254828
"4","07-4415",-2.54324378589838,-4.66498285972816,-16.2981633278383,-2.75438447467616,-1.45738754225589,5.08292709646231,-1.46236898253096,0.635134917683551,-0.519838998044893,48.750556054174
"34","16-10427",-1.18175252999669,-11.0960625170848,-11.1237989214786,-14.5096516992522,0.425559279578692,1.81026961767809,-0.135913865473128,0.593982718530093,0.514964102080881,39.6973467123414
"36","16-11226",-3.06008067219571,-7.67353208489086,7.68745159688221,17.1786618700507,0.647557482289152,-2.99230962958882,-0.755844091220922,-0.114430451427502,0.073426748422138,-35.8869895823064
"39","16-12770",-0.712458225992908,3.08037297790437,-12.3303009838422,-14.3251147743242,0.107439578904788,-6.2248326135192,-1.86514681669451,-4.06542316830097,-0.906899060276364,8.17768120363336
"40","16-12830",-1.88402392860885,-13.0091748107462,-12.1570836569596,-13.6868855273383,0.732155766482222,-2.11596622318876,0.368443377551614,-1.14059350240322,-0.34313392905534,17.3693980311584
"45","16-18448",3.83798720628007,9.63964029068729,7.51202253264076,-1.45320922135093,0.36529377626988,-4.33481354583351,2.03469413578367,0.335547974402651,0.773872051416769,-40.0777343253774
"47","16-18648",-0.158717058938198,11.1963588238817,-0.973948813896641,-9.83591959036167,0.393872397571464,-6.18381036612328,-3.98661629365813,-5.07281787030206,-0.454798672869019,7.47751709915896
"48","16-19018",-0.58328440458974,-11.3548536915935,-10.9876646601539,-12.5694035109372,0.407487198264327,8.61833540994199,0.862530234464913,1.2188368797159,2.04214256794114,64.1869466122845
"49","16-1922",1.20604044589708,-9.10265105746711,-3.79061774434843,-9.35792672879928,-0.140084584179007,8.1398025077323,3.2825318724438,1.16436045837643,1.23910542823874,36.570202637132
"50","16-19346",-0.120518701219542,5.10021420505701,3.05436616667184,-3.43500921022592,0.782710495708699,-4.48510902030806,-1.8651021511281,-2.24735883629468,-1.13483504579071,-7.60774893420056
"52","16-20838",1.88668011322195,13.1762176982393,10.385837107548,1.36143954294909,0.184254684665518,3.68415773450687,0.0245016164781475,-3.81968206798321,-1.64025014560456,7.92652656475468
"53","16-21764",0.982663249735385,-7.03537195273113,-2.79512251699658,-6.37900504291211,0.84409173308395,-0.457845990853897,2.31992327083839,0.738024579303648,2.05332750969478,-5.09978094435366
"57","16-22039",-3.38748788599615,-19.1098229710913,-30.6417957731308,-21.9469963127923,-0.19840004357593,1.38780917521677,-0.00968153728447874,2.06215242759801,-1.96507934672912,60.4377976168619
"61","16-23348",-3.52488436802806,-14.6477433682188,-12.4319390128731,-10.03476297579,1.06063793926732,-5.75556497652022,-1.63101095916917,-0.641295020015171,-0.282783456574352,7.79633251701907
"63","16-23766",-3.0491041090873,-15.4650134966187,-12.4484518282639,-4.19197593027238,0.455696101450847,4.94324730556083,0.49284792639989,2.31174390969338,-1.91866252418361,39.09479228842
"66","16-23941",-2.66779095476739,-8.00795241899004,-14.001417786405,-9.68394373772715,-0.645516473036949,5.14414543783053,-1.86678422512384,-0.251481782708304,-0.447530041096741,61.5938849998368
"67","16-23972",-3.7512650808878,-25.1786593423345,-28.5830787948804,-24.8141697912134,-0.28049987929343,4.40814995938305,0.724065042587569,-0.311554142772344,0.00268806992855186,75.3380347011247
"70","16-2870",0.0164869111048169,2.2863499638947,5.62926227569137,-2.03253774333734,0.506551153551712,-1.4487968682304,-1.3124129635128,-2.42950978774217,0.814788374588854,0.872822586366674
"71","16-28753",-2.81621579613769,-8.27736990429996,-15.7027012134659,-6.71751040661321,0.221676250475959,2.4168436490551,-2.27381086564256,1.74613353657104,0.417556603109992,47.4094905675893
