"","observationUnitName","germplasmDbId","variable","value","resids"
"5","A6S_Urb_19-plot105","99384","Grain.test.weight...lbs.bu",44.7,-3.97871609664121
"118","A6S_Urb_19-plot128","99372","Grain.yield...bu.ac",69.2,-3.03288479993665
"7","Adv_Car_19-plot1007","84968","Grain.test.weight...lbs.bu",53,-3.49875527264381
"173","Adv_Car_19-plot2053","96808","Grain.test.weight...lbs.bu",57.5,4.08564652674222
"347","Adv_Car_19-plot3107","96808","Grain.test.weight...lbs.bu",52.6,-4.0856465267422
"814","AdvHY_Urb_20-plot20144","97095","Grain.test.weight...lbs.bu",61.6240880787649,-3.27829126406693
"903","AdvHY_Urb_20-plot30163","97095","Grain.test.weight...lbs.bu",71.2706280202985,3.29134577414053
"749","Adv_Neo_18-plot1029","85052","Plant.height...cm.",91.44,3.30785418773827
"48","Adv_Neo_18-plot1048","84682","Grain.test.weight...lbs.bu",25.8,-5.89056139912511
"49","Adv_Neo_18-plot1049","85097","Grain.test.weight...lbs.bu",24.5,-5.29200096079906
"433","Adv_Neo_18-plot1073","84732","Grain.yield...bu.ac",45.2,-3.01033354505486
"96","Adv_Neo_18-plot1096","84835","Grain.test.weight...lbs.bu",30,-4.45296523029446
"145","Adv_Neo_18-plot2025","84758","Grain.test.weight...lbs.bu",28.9,-5.45234822587758
"156","Adv_Neo_18-plot2036","84682","Grain.test.weight...lbs.bu",56.8,3.10426934905573
"594","Adv_Neo_18-plot2114","85146","Grain.yield...bu.ac",115.4,5.31756998763154
"444","Adv_Neo_20-plot224","101077","Grain.yield...bu.ac",72.0629999927756,-4.04530210247349
"648","Adv_Neo_20-plot518","101077","Grain.yield...bu.ac",136.118999999571,4.04530210247349
"689","Adv_Neo_20-plot559","97166","Grain.yield...bu.ac",14.1299999994873,-3.04119809242051
"45","Adv_Rid_18-plot1045","85129","Grain.test.weight...lbs.bu",47.1,-3.28200416185904
"105","Adv_Rid_18-plot1105","85219","Grain.test.weight...lbs.bu",47.4,-3.83583801063208
"905","Adv_Rid_18-plot2065","85219","Lodging.incidence...0.9.percentage.scale.",6,3.2375220743329
"1449","Adv_Scb_19-plot1013","85012","Heading.time...Julian.date..JD..",145,3.11402315925938
"127","Adv_Stj_18-plot2009","84884","Grain.test.weight...lbs.bu",45.8,-3.39678917489185
"320","Adv_Stj_18-plot3086","84884","Grain.test.weight...lbs.bu",56.8,3.39678917489186
"1","Adv_Stj_19-plot1001","84789","Grain.test.weight...lbs.bu",54.7,-3.26931068700216
"507","Adv_StJ_20-plot317","96704","Grain.yield...bu.ac",71.121000005796,-5.13043398075583
"162","Adv_StJ_20-plot322","96852","Grain.test.weight...lbs.bu",53.3996424792435,-5.47112345226638
"300","Adv_StJ_20-plot520","96852","Grain.test.weight...lbs.bu",62.1692242407428,5.4711234522664
"669","Adv_StJ_20-plot539","96704","Grain.yield...bu.ac",134.705999996797,5.1304339807558
"4","Adv_Urb_18-plot1004","85257","Grain.test.weight...lbs.bu",50.7,-4.22187258462407
"218","Adv_Urb_18-plot2098","85166","Grain.test.weight...lbs.bu",52.2,-3.74682144808656
"256","Adv_Urb_19-plot2016","96743","Grain.yield...bu.ac",41.5,-3.01908138760618
"736","Adv_Urb_19-plot2016","96743","Plant.height...cm.",96.5199999999999,3.13129512279187
"140","Adv_Urb_19-plot3020","96644","Grain.test.weight...lbs.bu",57.3999999999999,3.53589204390392
"457","Adv_Urb_19-plot3097","96743","Grain.yield...bu.ac",49.5,3.01908138760618
"937","Adv_Urb_19-plot3097","96743","Plant.height...cm.",73.6599999999999,-3.13129512279183
"134","ORG_Dan_19-plot214","97938","Plant.height...cm.",99.06,3.38511017352103
"154","ORG_Dan_19-plot304","97938","Plant.height...cm.",71.12,-3.06565187437702
"462","ORG_Urb_20-plot112","85131","Septoria.nodorum.leaf.blotch.severity...0.9.percentage.scale.",9,3.53226248474299
"236","P5S_Urb_20-plot111","240423","Heading.time...Julian.date..JD..",128,-4.16964681230875
"37","P5S_Urb_20-plot212","240786","FHB.plant.response...1.9.response.scale.",4,-3.44455520270375
"208","P6S_Scb_19-plot110","84801","FHB.incidence.....",95,3.18167615681103
"264","P6S_Scb_19-plot233","84801","FHB.incidence.....",30,-3.32435302029331
"57","Pr1_Neo_18-plot157","96953","Grain.test.weight...lbs.bu",45.7,-3.10247746381664
"152","Pr1_Neo_18-plot268","96953","Grain.test.weight...lbs.bu",57.1,3.10247746381663
"51","Pr1_Urb_18-plot151","96947","Grain.test.weight...lbs.bu",56.4,3.35382985255088
"142","Pr1_Urb_18-plot258","96947","Grain.test.weight...lbs.bu",48.3999999999999,-3.35382985255092
"24","Pr2_Neo_18-plot124","97000","Grain.test.weight...lbs.bu",55.6,3.69396334172012
